screen_name;specific
WebCaminhoes;0
VIABAHIA_SA;0
truckbrasil;0
Transvias;0
TransitoSul;0
TransitoSampaSP;0
transitorec_;0
TransitoPOARS;0
TEBE_rodovias;0
SulRadar;0
SOSRodovias;0
SOSESTRADAS;0
SomaRodovias;0
sbtjornalismo;0
RodoviasV;0
RodoviasPr;0
RodoviasParana;0
rodoviasorg;0
rodoviasgoias;0
revcargapesada;0
rev_ecorodovias;0
recordtvoficial;0
recordnews;0
rdasbandeiras;0
PRFParana;1
PRFCeara;1
PRFBrasil;1
PRF191TOCANTINS;1
PRF191SP;1
PRF191SERGIPE;1
PRF191RS;1
PRF191RORAIMA;1
PRF191RONDONIA;1
PRF191RJ;1
PRF191PR;1
PRF191PE;1
PRF191PA;1
PRF191MS;1
PRF191ES;1
PRF191AM;1
PRF191ACRE;1
PRF_Tocantins;1
prf_sc;1
prf_rr;1
prf_ro;1
prf_rn;1
prf_pi;1
prf_pb;1
PRF_MS;1
prf_mg;1
prf_df;1
prf_ba;1
prf_al;1
preparana;0
portalcorreio;0
portalclickpb;0
porondefortal;0
pmscrodoviaria;0
pmrodoviaria;0
paraiba_online;0
maispb;0
LitoralNorte;0
JornalRecNews;0
jornaldarecord;0
JornalDaGlobo;0
GuiaEstradas;0
grupobr277;0
g1parana;0
g1paraiba;0
g1;0
fujadotransito;0
Frotacia;0
FlagrasTransito;0
Fecar_Transp;0
FaunaNews;0
ecovia;0
ecopistas;0
eco050;0
DetranPE;0
CTTU_Recife;0
CRBM198RS;0
concefsa;0
cbntransito;0
CBNCuritiba;0
caminhospr;0
Cadamin;0
cabobrancotv;0
BrasilRodovias;0
blogdomr;0
Bemnaestrada;0
B2Caminhoneiro;0
arteris_oficial;0
agetransp;0
191PRFAMAPA;1
191MATOGROSSO;1
_eco101;0
