texto;classificacao
br116 km 643 jequie local onde houve o acidente finalizado trafego voltando fluir normal;1
atencao br116 km 643 jequie rodovia parcialmente interditada devido acidente reduza a velocidade;1
av engenheiro armando de arruda pereira 2400 atropelamento 02 vtrs e 01 aguia 01 vitima c frat  ;0
atropelamento por caminhao av luiz ignacio de anhaia mello 600  vila prudente prox a r dianopo  ;0
 acidente encerrado  faixa liberada  dersp;0
duas faixas da esquerda bloqueadas por conta do acidente no km 315 da rodovia ayrton senna  na pista em direcao a sao paulo trafego segue lento a partir do km 32 ;0
acidente entre 2 carros na estrada das tres meninas 120 no bairro vila nova   eptc no local samu e b  eptcpoa;0
 concessionaria presta atendimento a acidente na marginal da d pedro i em campinas prox ao entroncamento com a anhanguera via tem faixa interditada  em jundiai motorista reduz velocidade no trecho final da joao cereser local tem bloqueio para implantacao de marginais ;0
obras nao causam reflexos no transito tarde tambem comeca com tempo ensolarado e sem registro de acidentes ;0
transito e bom em todo o corredor dom pedro mesmo nos pontos com interdices para obras tarde comeca ensolarada e sem registro de acidentes ;0
 a rodovia d pedro i tem congestionamento em jacarei na pista sentido campinas transito flui somente por uma faixa na altura do km 12 reflexo de um acidente que chegou a interditar totalmente a pista;0
balanco do dia 17082021   008   acidentes  014   veiculos envolvidos  010   feridos  001   mortos  405   pessoas fiscalizadas 427   veiculos fiscalizados 008   testes de alcoolemia  439   notificaces de autuacao 004   pessoas detidas;0
balanco do dia 16082021   006   acidentes  008   veiculos envolvidos  006   feridos  000   mortos   414   pessoas fiscalizadas 328   veiculos fiscalizados 020   testes de alcoolemia  345  notificaces de autuacao 001   pessoas detidas;0
atilio vivacqua br 101 km 426 proximo ao posto dos motoristas pista totalmente interditada desde as 0030 devido ao tombamento de um caminhao;1
22h00   pista interditada na br 259 proximo a acioli devido a acidente de transito;0
14h   sempre faca uma revisao de seu veiculo antes de pegar a estrada evitar acidentes tambem e com voce mas se acontecer ligue pra gente 191  ;0
0200 em conselheiro lafaiete br 040 km 642 sentido bh interdicao parcial em decorrencia de acidente atencao ao passar pelo local ;1
1050 em joao monlevade br 381 km 351 ref ponte torta transito em pare e siga para trabalho das equipes do  que estao no local para reconstrucao de mureta de concreto danificada em acidente;1
1700 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
1200 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
0700 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
0400 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
2300 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
1808br 376  contorno sul curitiba km 588 acidente capotamento proximo ao viaduto da br 277 rodovia do cafe  sentido sao paulo trafego lento na regiao da orleans em curitiba 1147 grupobr277 ;1
1708 br 376 km 527 chegando no parque estadual vila velha acidente engavetamento sentido ponta grossa congestionamento de 2 quilometros 1546 grupobr277 ;1
jovem vitima de acidente no bairro de cuia em joao pessoa morre em hospital g1 g1paraiba   ;0
as 9h50 ouvinte informa que na av domingos ferreira no cruzamento com a felix de brito ha uma pessoa caida no chao vitima de um possivel acidente segundo a ouvinte alguns carros estao subindo nos canteiros nas calcadas para ultrapassar o transito que esta intenso;0
